"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"606",2,5,5,5,2,2,3,5,5,3
"607",5,3,5,4,4,3,4,5,4,4
"608",1,5,2,4,3,3,1,4,4,2
"609",4,3,5,4,3,2,5,1,2,2
"610",5,4,3,1,2,4,4,3,4,1
"611",4,3,3,4,3,3,3,2,1,5
"612",4,1,2,5,1,5,5,3,4,5
"613",3,1,4,1,2,4,5,2,1,2
"614",2,4,5,4,4,4,5,5,2,2
"615",2,1,3,1,5,3,2,2,1,2
"616",3,5,3,4,3,5,4,5,3,2
"617",3,1,4,1,3,5,3,2,4,1
"618",1,4,5,3,5,1,1,3,1,2
"619",1,2,5,2,5,5,3,3,1,3
"620",1,1,4,5,1,1,4,1,4,1
"621",5,4,4,4,5,1,4,1,1,5
"622",4,5,3,5,1,1,5,5,1,4
"623",4,5,4,5,5,2,3,2,1,1
"624",3,1,2,2,2,2,4,3,1,1
"625",2,5,5,3,2,3,2,5,5,4
"626",3,5,3,3,5,4,3,4,5,2
"627",2,2,2,2,5,4,2,2,4,1
"628",3,3,5,1,1,4,3,2,1,3
"629",5,5,3,3,4,1,2,1,2,2
"630",5,5,2,4,1,1,4,1,2,5
"631",4,1,4,3,4,2,1,4,2,4
"632",1,4,3,1,5,4,5,5,1,4
"633",2,4,4,2,1,5,5,2,3,4
"634",4,4,4,4,5,5,5,4,5,4
"635",4,4,3,5,3,4,5,1,5,5
"636",5,4,1,3,5,1,3,4,4,1
"637",4,1,1,4,5,4,2,1,5,2
"638",1,2,2,3,3,2,2,1,5,4
"639",5,2,2,2,3,3,1,2,1,2
"640",3,5,1,4,3,2,4,4,4,3
"641",3,2,3,2,2,5,3,1,3,5
"642",1,3,2,5,3,3,4,4,4,2
"643",5,5,1,4,2,1,5,3,3,2
"644",4,5,2,2,5,2,5,3,5,5
"645",2,4,5,1,3,4,5,2,4,3
"646",1,4,4,4,2,2,5,1,5,4
"647",5,1,3,2,4,4,2,5,1,1
"648",3,1,3,5,2,5,2,3,4,3
"649",5,2,2,1,5,4,4,1,1,5
"650",4,3,4,2,2,4,5,5,4,2
"651",1,2,3,4,1,1,5,2,3,1
"652",1,2,5,1,4,2,5,2,1,1
"653",2,2,5,3,1,1,1,4,5,1
"654",4,5,1,1,3,4,4,4,2,3
"655",5,5,2,2,5,5,2,5,1,2
"656",3,3,1,1,1,4,1,4,1,2
"657",3,2,1,1,3,5,4,5,3,3
"658",4,4,2,4,1,5,2,5,3,1
"659",5,2,1,5,4,5,3,1,3,5
"660",2,5,1,4,4,3,1,1,3,2
"661",4,2,3,3,5,1,3,5,2,5
"662",4,2,4,5,4,4,2,5,2,5
"663",1,3,2,2,4,5,5,3,2,3
"664",3,3,4,4,4,1,5,5,5,1
"665",1,3,1,1,2,5,4,3,3,2
"666",1,2,1,5,4,3,5,4,3,3
"667",5,3,2,2,4,2,4,5,3,5
"668",5,1,3,5,1,5,5,2,2,3
"669",3,2,1,5,5,3,4,2,4,3
"670",1,1,3,3,5,1,4,4,4,4
"671",5,5,3,4,3,4,4,2,3,3
"672",1,5,4,2,1,3,2,2,2,2
"673",1,4,5,4,1,5,4,4,1,5
"674",2,4,1,2,1,4,2,3,1,5
"675",2,1,3,3,5,4,5,4,5,4
"676",5,3,4,5,3,4,4,1,4,1
"677",5,5,3,1,5,3,3,4,5,4
"678",5,3,4,5,4,5,2,2,5,1
"679",4,2,1,1,2,3,5,5,1,1
"680",2,1,4,5,4,3,2,4,2,4
"681",4,2,5,5,1,3,2,5,3,1
"682",4,4,4,2,5,3,2,5,2,5
"683",1,4,3,2,5,1,1,3,1,1
"684",2,2,5,5,2,2,4,3,3,4
"685",3,3,2,2,4,2,4,2,1,2
"686",4,1,4,1,4,3,5,3,1,3
"687",4,1,4,2,2,5,5,4,3,2
"688",5,2,2,4,2,3,5,5,5,3
"689",3,1,1,4,2,4,2,4,5,2
"690",4,3,5,2,1,1,3,5,5,5
"691",4,5,1,2,1,3,5,4,3,2
"692",3,1,3,1,2,4,5,3,5,1
"693",4,3,2,4,2,5,5,4,2,5
"694",3,4,4,5,4,3,2,3,2,5
"695",3,4,5,1,5,5,3,5,5,4
"696",5,2,2,2,4,3,1,2,5,2
"697",4,3,4,3,4,2,1,3,5,1
"698",5,3,2,3,3,4,1,3,2,1
"699",4,5,1,3,5,1,4,5,3,3
"700",2,1,1,2,2,4,1,5,5,2
"701",2,4,1,4,1,3,4,2,5,3
"702",1,1,5,2,5,5,3,4,2,2
"703",4,2,1,2,5,5,3,5,2,1
"704",5,3,5,5,4,3,3,2,2,4
"705",1,2,1,1,1,4,3,4,2,4
"706",3,3,3,3,1,4,1,5,1,4
"707",3,2,5,4,1,1,2,3,5,2
"708",3,1,3,4,5,3,3,2,1,5
"709",2,3,2,2,4,1,2,5,2,1
"710",2,3,3,2,2,1,4,5,5,2
"711",2,1,1,5,2,4,3,1,2,3
"712",2,1,3,1,5,1,4,3,3,2
"713",3,1,4,3,1,4,2,4,5,4
"714",5,4,2,1,5,4,5,2,3,5
"715",5,5,1,2,5,3,4,2,4,4
"716",2,5,4,3,5,2,3,5,5,1
"717",4,4,1,3,4,2,2,3,2,5
"718",2,2,2,4,4,3,2,5,1,4
"719",4,1,2,2,2,2,4,2,3,2
"720",3,5,1,5,4,5,1,2,5,1
"721",5,5,1,1,4,4,2,3,3,3
"722",4,2,3,4,1,3,5,5,5,2
"723",2,2,2,5,1,2,5,5,1,1
"724",3,3,1,2,2,2,1,1,1,2
"725",2,5,2,3,1,2,5,5,2,1
"726",3,5,3,2,3,1,4,5,4,4
"727",4,2,2,4,1,2,4,1,1,4
"728",2,2,3,3,4,4,5,2,3,5
"729",2,2,5,4,1,2,1,3,1,4
"730",3,3,1,4,1,5,5,4,3,3
"731",3,3,1,5,5,5,4,4,4,2
"732",1,5,5,5,2,3,2,2,3,1
"733",5,3,3,5,2,2,3,4,2,1
"734",4,4,5,3,5,4,1,3,2,2
"735",2,2,4,4,4,1,2,1,1,3
"736",1,1,5,4,4,5,3,1,5,5
"737",1,3,5,1,2,5,2,4,3,5
"738",1,4,5,4,4,1,3,5,1,3
"739",1,4,2,5,5,4,2,3,4,2
"740",5,1,3,1,1,2,1,1,1,5
"741",2,1,4,1,5,1,4,5,5,3
"742",4,4,1,5,1,3,5,4,1,3
"743",1,1,1,5,4,2,3,2,2,2
"744",2,5,2,1,5,3,4,4,2,1
"745",2,2,3,1,2,1,4,1,5,4
"746",5,2,5,3,1,1,3,4,4,3
"747",4,4,3,2,2,2,1,3,1,3
"748",1,2,2,1,1,4,3,3,1,2
"749",1,2,2,3,5,3,2,4,3,4
"750",1,3,3,5,5,1,3,2,4,2
"751",3,5,1,4,3,4,1,5,1,3
"752",1,3,5,2,1,1,2,5,4,5
"753",2,2,2,2,3,5,2,4,4,1
"754",1,4,3,2,4,3,3,1,2,1
"755",1,1,1,3,5,3,4,4,1,5
"756",5,1,4,2,2,3,1,3,2,3
"757",2,3,2,1,1,3,1,5,2,3
"758",2,5,1,3,1,1,1,2,2,2
"759",1,4,5,3,4,4,5,1,3,2
"760",2,1,2,3,2,1,4,3,5,5
"761",3,1,3,1,3,3,2,4,3,4
"762",1,2,2,3,3,3,5,2,1,5
"763",2,4,2,1,3,3,2,5,3,2
"764",2,5,5,3,3,1,2,2,5,4
"765",2,2,1,3,3,3,5,5,3,5
"766",5,1,1,4,5,2,2,3,2,5
"767",5,4,3,5,5,2,1,3,3,1
"768",3,4,4,5,3,5,5,4,3,1
"769",1,3,4,1,4,3,4,3,1,5
"770",3,1,2,5,3,2,4,5,3,5
"771",4,4,4,2,4,1,3,3,4,5
"772",3,4,1,4,5,5,2,3,5,5
"773",1,4,1,1,4,1,3,1,4,1
"774",2,5,1,1,2,2,2,4,1,5
"775",1,4,4,1,5,5,2,2,2,2
"776",4,3,5,5,4,2,3,1,5,4
"777",3,3,5,4,3,4,1,1,1,2
"778",5,2,4,4,5,4,5,3,3,3
"779",3,4,5,5,2,2,4,4,5,3
"780",1,3,5,2,5,1,3,2,1,2
"781",2,4,5,3,4,4,3,3,3,2
"782",5,1,4,5,3,5,4,3,2,2
"783",2,5,2,4,2,4,4,2,4,2
"784",3,1,2,3,5,4,1,4,1,4
"785",3,1,3,3,5,2,4,5,2,3
"786",5,3,5,5,5,5,5,1,1,4
"787",3,3,2,1,4,5,3,5,5,1
"788",5,4,5,5,5,1,4,3,2,1
"789",3,1,5,5,5,3,5,3,1,2
"790",2,3,5,4,4,1,4,1,1,5
"791",1,4,3,1,5,1,4,2,3,2
"792",2,4,1,2,2,5,2,4,5,5
"793",5,5,5,3,4,2,4,3,5,5
"794",1,1,3,4,4,4,2,1,5,1
"795",2,1,2,4,5,2,5,3,1,1
"796",3,5,1,4,5,5,4,1,3,5
"797",5,5,1,5,5,5,4,1,4,5
"798",4,3,1,4,1,4,5,2,1,2
"799",4,4,3,2,3,2,5,2,1,1
"800",1,3,2,3,3,4,1,5,4,1
"801",5,2,2,1,5,1,3,1,2,5
"802",1,4,5,4,4,2,5,3,5,5
"803",4,2,1,3,1,3,1,3,4,4
"804",5,2,3,2,2,4,3,5,5,2
"805",4,5,3,2,5,3,4,2,2,2
"806",2,4,1,2,4,3,2,5,1,1
"807",3,1,3,4,4,2,2,2,5,5
"808",1,1,1,4,2,1,2,3,4,3
"809",2,2,3,4,5,3,2,3,2,4
"810",2,4,3,1,4,4,2,2,1,1
"811",2,1,3,4,5,1,5,5,4,4
"812",2,1,3,2,1,4,1,4,5,1
"813",4,5,5,1,5,4,4,1,3,1
"814",4,1,5,4,1,1,4,1,4,5
"815",4,5,3,5,5,4,4,4,2,2
"816",4,2,2,4,5,5,2,5,1,1
"817",2,1,2,1,4,5,1,1,5,5
"818",1,3,4,2,3,3,3,2,2,3
"819",4,4,2,5,1,5,4,4,4,2
"820",4,4,5,4,4,1,2,2,1,5
"821",5,5,3,3,2,2,5,4,4,5
"822",1,2,5,4,5,5,2,1,4,1
"823",5,4,1,1,5,2,5,5,3,2
"824",1,5,5,5,2,5,2,1,5,5
"825",4,2,2,3,3,5,1,5,4,1
"826",1,5,2,4,5,4,1,2,3,5
"827",2,5,1,2,5,2,4,4,3,5
"828",2,2,2,4,5,2,5,3,2,5
"829",4,1,1,2,2,2,2,4,3,3
"830",4,5,4,1,1,4,4,4,4,4
"831",4,4,1,3,3,5,4,4,3,5
"832",5,4,2,1,5,4,4,4,4,2
"833",1,2,1,1,4,2,3,3,5,5
"834",3,4,2,5,3,5,2,3,5,1
"835",2,5,3,1,1,3,5,1,3,5
"836",2,1,2,4,5,5,2,2,2,1
"837",4,2,1,4,4,3,1,3,5,4
"838",3,2,3,4,5,3,3,5,5,5
"839",4,4,1,3,3,1,3,3,4,5
"840",3,3,5,4,5,1,4,5,5,5
"841",1,4,4,1,1,3,2,1,2,4
"842",2,5,5,4,4,3,3,5,5,2
"843",2,4,5,1,2,4,3,5,1,4
"844",4,1,1,3,5,2,3,1,3,3
"845",3,4,4,5,4,5,4,1,4,4
"846",2,4,1,2,3,1,3,4,3,4
"847",5,4,1,3,4,2,5,4,4,2
"848",4,4,5,5,5,3,4,1,3,3
"849",5,4,5,1,4,5,3,5,2,1
"850",3,5,4,3,5,5,1,4,4,3
"851",5,4,5,2,4,2,4,1,5,3
"852",2,3,2,3,1,5,1,2,3,1
"853",4,5,4,2,2,5,2,4,5,1
"854",5,1,1,2,2,1,3,4,2,5
"855",2,2,1,4,1,3,5,3,3,5
"856",4,5,5,4,4,1,2,5,4,4
"857",1,3,4,5,1,3,2,5,1,2
"858",4,5,1,5,3,3,1,1,5,4
"859",2,3,4,1,3,1,1,5,4,4
"860",3,3,4,2,3,4,3,2,4,1
"861",2,2,2,3,1,2,3,4,5,2
"862",5,4,3,5,2,4,2,2,1,5
"863",1,4,4,5,1,4,3,4,5,4
"864",5,5,2,4,3,4,3,3,2,1
"865",4,3,3,2,4,2,1,1,1,4
"866",3,5,3,5,3,1,1,1,2,1
"867",1,2,5,1,2,4,1,1,1,2
"868",5,4,4,1,5,5,5,3,2,4
"869",3,3,3,1,2,5,1,3,1,2
"870",3,4,3,4,2,4,2,2,1,2
"871",4,4,1,4,4,2,4,4,3,1
"872",4,4,2,5,1,4,5,3,2,1
"873",3,1,3,4,2,4,3,3,1,1
"874",5,1,3,1,5,5,2,1,2,2
"875",1,5,2,1,4,3,5,1,1,4
"876",5,2,5,3,2,5,4,4,2,3
"877",5,5,3,1,4,3,2,3,3,4
"878",2,3,1,1,5,1,4,4,2,5
"879",1,3,4,1,4,5,4,4,2,1
"880",2,5,2,4,3,5,3,1,2,1
"881",1,3,1,1,4,2,4,2,2,3
"882",3,3,4,4,2,2,3,1,3,5
"883",4,1,1,4,1,5,3,5,1,3
"884",5,4,4,1,2,1,5,2,4,1
"885",5,2,4,5,2,2,4,2,5,1
"886",3,1,4,1,4,1,1,2,2,3
"887",2,1,4,4,2,1,4,5,1,3
"888",5,4,4,2,4,2,1,3,2,2
"889",5,3,2,4,5,2,1,2,2,1
"890",3,1,3,5,1,4,1,2,4,4
"891",3,4,3,4,4,5,4,5,1,3
"892",4,4,5,4,5,3,5,3,5,4
"893",4,1,4,1,4,5,4,1,4,2
"894",4,3,2,2,2,4,1,1,5,3
"895",3,3,2,5,5,2,4,4,1,5
"896",1,3,2,4,3,1,3,3,1,3
"897",5,3,2,2,5,5,2,3,4,5
"898",2,2,4,4,5,5,2,1,5,5
"899",1,5,3,2,3,5,3,5,4,3
"900",3,1,4,2,4,1,5,3,5,5
"901",5,1,3,2,4,4,1,3,1,5
"902",4,2,4,4,1,3,5,1,5,2
"903",1,4,1,2,3,4,2,4,4,2
"904",1,5,4,4,3,2,3,2,4,5
"905",3,1,2,4,1,5,4,2,1,1
"906",3,5,2,3,2,4,4,5,5,2
"907",5,5,4,5,3,2,1,2,1,5
"908",2,1,1,1,5,2,2,4,1,5
"909",1,2,5,3,5,5,3,1,2,4
"910",2,2,3,3,4,4,2,2,2,4
"911",5,5,5,2,4,5,3,1,3,2
"912",4,5,1,2,4,3,4,2,2,2
"913",4,3,5,3,5,1,4,3,5,2
"914",4,5,2,1,5,2,4,3,4,2
"915",3,1,2,3,2,4,2,3,3,4
"916",1,5,3,5,5,4,3,5,2,2
"917",1,5,5,1,2,4,3,1,1,2
"918",5,3,2,1,4,3,2,2,2,4
"919",2,3,4,2,4,5,2,2,4,3
"920",1,1,4,2,4,2,2,2,1,1
"921",2,2,3,5,2,3,3,4,1,3
"922",5,2,4,5,2,5,5,2,5,1
"923",3,3,5,1,1,5,1,5,4,3
"924",2,5,4,2,5,1,1,2,5,4
"925",2,3,5,3,4,1,5,4,4,3
"926",3,5,4,5,5,4,5,2,1,4
"927",2,5,3,5,4,2,4,2,5,4
"928",2,3,3,3,3,5,4,3,5,5
"929",5,1,4,4,4,1,3,4,2,4
"930",3,4,1,4,4,2,3,4,5,3
"931",5,5,4,4,5,4,5,5,1,2
"932",2,1,3,2,3,3,5,5,1,3
"933",2,3,3,4,3,1,4,4,5,4
"934",3,2,2,4,4,5,3,4,2,5
"935",5,1,3,3,5,5,2,2,4,4
"936",2,3,3,3,1,1,4,1,5,4
"937",1,2,5,2,1,2,1,1,2,1
"938",2,1,4,1,1,4,4,4,3,5
"939",4,4,4,5,4,5,5,2,4,2
"940",4,4,5,1,2,3,5,4,1,2
"941",5,5,5,5,1,1,3,1,3,3
"942",3,2,3,1,3,3,4,1,1,1
"943",3,2,4,4,2,2,1,3,4,4
"944",4,3,3,4,1,5,4,3,4,2
"945",1,1,4,4,5,2,3,5,3,5
"946",4,1,4,5,4,1,3,1,3,4
"947",3,5,5,4,4,2,1,3,1,5
"948",4,4,4,1,1,4,3,5,5,4
"949",1,2,4,1,3,5,5,5,2,5
"950",4,4,3,1,4,5,3,3,3,2
"951",5,2,3,1,2,1,2,3,2,5
"952",1,3,5,4,1,2,3,5,3,1
"953",3,3,3,5,1,1,5,5,2,4
"954",2,1,1,1,5,1,3,1,5,1
"955",2,2,1,5,1,1,4,4,3,4
"956",1,2,1,4,4,5,4,3,5,4
"957",2,5,5,3,1,3,5,3,1,5
"958",1,1,5,4,2,3,3,1,5,3
"959",2,1,3,2,2,3,3,4,5,3
"960",3,5,3,1,2,1,3,5,4,2
"961",3,2,1,4,3,2,2,4,2,5
"962",1,2,5,3,2,2,4,4,4,3
"963",4,4,5,3,1,4,1,1,3,1
"964",4,3,3,2,3,2,1,4,3,1
"965",3,2,5,3,4,1,4,2,3,5
"966",5,1,5,4,5,2,3,5,3,5
"967",2,2,2,3,3,1,4,4,3,2
"968",2,5,1,1,1,1,5,4,4,5
"969",4,2,3,4,5,3,1,5,3,5
"970",5,5,3,4,3,5,2,2,1,2
"971",2,2,2,1,2,3,5,2,2,3
"972",2,3,1,5,2,1,5,5,2,3
"973",2,2,4,3,2,2,5,4,5,5
"974",2,2,4,5,1,5,1,2,5,5
"975",5,1,3,3,4,3,5,1,2,4
"976",2,4,4,1,2,4,3,4,2,5
"977",4,5,1,4,1,5,4,1,4,4
"978",2,1,2,5,4,1,1,2,2,4
"979",1,4,4,1,5,4,3,4,3,5
"980",5,5,2,5,2,3,4,4,3,4
"981",4,5,4,1,5,5,2,3,3,1
"982",4,2,4,5,4,2,1,3,3,2
"983",1,1,2,5,3,3,5,2,4,5
"984",4,5,1,2,3,1,3,2,3,4
"985",5,3,5,4,1,3,4,1,5,2
"986",5,5,2,1,1,3,1,5,5,5
"987",4,3,3,2,2,5,4,4,2,2
"988",2,5,5,3,3,1,4,3,2,1
"989",4,3,4,5,2,3,2,1,5,4
"990",1,5,1,2,4,3,3,2,2,5
"991",4,2,4,1,3,5,5,1,5,1
"992",3,1,5,4,1,2,5,5,2,5
"993",1,2,3,3,3,3,2,5,1,2
"994",5,4,3,1,5,2,4,1,5,4
"995",4,1,4,4,1,2,4,3,2,2
"996",1,3,5,5,4,1,4,1,5,4
"997",2,4,4,2,4,1,2,2,4,3
"998",3,4,3,5,1,5,1,1,1,5
"999",3,5,3,3,4,4,2,3,4,4
"1000",5,3,2,1,4,4,1,2,3,5
"1001",4,5,3,5,1,3,2,4,3,3
"1002",5,4,1,1,3,1,5,4,4,2
"1003",4,4,1,3,3,2,4,5,2,5
"1004",3,3,5,2,5,2,2,3,4,2
"1005",5,3,5,5,1,4,5,1,2,4
"1006",2,1,1,4,3,5,2,4,4,1
"1007",2,2,4,1,4,5,4,1,1,2
"1008",4,3,2,4,5,3,4,4,3,3
"1009",5,5,1,1,1,3,5,5,2,1
"1010",4,4,1,4,1,1,3,4,1,4
"1011",5,2,1,4,3,5,3,2,2,1
"1012",1,2,1,4,2,2,3,3,4,2
"1013",5,2,1,2,1,3,4,3,4,4
"1014",2,3,2,1,4,4,5,1,2,5
"1015",2,3,4,5,2,3,3,1,2,2
"1016",2,5,4,5,3,4,4,3,4,3
"1017",1,2,2,4,5,1,1,2,2,4
"1018",3,3,4,2,1,3,2,4,2,4
"1019",4,1,3,3,4,1,4,4,3,3
"1020",5,1,2,4,2,3,5,2,2,5
"1021",4,3,5,4,5,2,1,5,1,1
"1022",3,2,2,5,4,2,3,4,5,4
"1023",3,4,1,1,1,3,2,3,2,3
"1024",3,4,1,4,3,3,3,3,1,3
"1025",2,2,4,5,4,5,2,3,4,2
"1026",3,2,1,1,5,2,5,1,5,1
"1027",5,1,5,4,1,5,3,3,4,4
"1028",3,3,3,3,2,1,1,4,1,3
"1029",2,2,5,4,3,4,1,1,2,3
"1030",1,1,2,4,1,5,3,3,4,2
"1031",2,5,5,1,1,4,1,1,1,2
"1032",1,5,5,2,2,2,2,2,2,1
"1033",5,5,5,5,4,2,3,2,4,5
"1034",5,4,3,3,3,1,4,1,1,2
"1035",3,5,4,4,2,1,2,4,5,3
"1036",5,3,4,3,1,3,4,1,1,3
"1037",1,2,5,3,5,1,5,1,5,1
"1038",2,1,4,1,2,2,1,3,2,1
"1039",2,1,4,3,2,3,4,4,3,5
"1040",4,1,5,3,2,2,1,2,1,3
"1041",2,1,3,2,3,2,3,1,4,2
"1042",5,1,5,5,1,2,4,5,5,2
"1043",5,3,4,2,2,4,4,3,1,4
"1044",2,3,5,2,4,3,1,2,1,1
"1045",3,1,5,2,4,3,2,3,3,2
"1046",1,1,5,5,5,5,3,4,1,4
"1047",3,3,5,1,1,1,4,5,4,3
"1048",1,4,4,2,3,4,1,3,1,3
"1049",2,2,3,4,2,4,3,5,2,3
"1050",5,3,4,2,2,1,2,5,4,3
"1051",3,4,4,3,2,2,2,1,1,4
"1052",1,5,2,2,2,5,2,2,3,4
"1053",1,5,2,1,5,5,5,1,4,2
"1054",4,2,5,4,3,3,5,5,2,4
"1055",2,4,3,1,5,4,2,5,1,5
"1056",1,4,4,1,3,1,4,1,3,2
"1057",2,2,3,4,2,5,4,2,2,5
"1058",2,2,4,2,3,1,3,1,5,5
"1059",1,5,2,3,3,4,5,1,4,5
"1060",1,3,1,4,1,3,2,1,1,4
"1061",1,4,2,2,4,1,4,1,3,1
"1062",2,5,5,3,2,3,1,3,1,1
"1063",3,5,2,1,4,5,3,1,3,2
"1064",5,4,1,2,4,1,4,5,1,5
"1065",4,2,3,5,2,5,2,3,1,5
"1066",3,3,3,3,2,2,1,1,3,1
"1067",4,1,3,5,2,5,3,2,1,4
"1068",2,2,4,5,3,5,3,3,5,5
"1069",5,4,5,5,5,4,3,4,5,2
"1070",4,4,4,1,2,2,1,1,1,5
"1071",5,5,4,3,2,2,2,3,5,3
"1072",5,4,2,3,4,4,1,3,4,1
"1073",2,2,2,2,1,1,1,1,4,4
"1074",2,1,3,1,3,1,3,5,4,3
"1075",5,5,4,1,1,3,4,2,5,2
"1076",5,1,2,2,3,2,1,1,1,3
"1077",2,2,1,2,1,4,5,3,1,1
"1078",4,5,4,2,3,2,1,4,3,4
"1079",4,5,3,3,2,5,3,5,1,1
"1080",1,3,3,3,3,4,2,1,5,2
"1081",2,1,2,5,1,2,3,4,4,4
"1082",4,3,5,2,5,5,2,5,2,4
"1083",1,4,3,5,3,3,1,5,5,5
"1084",3,5,4,4,1,3,5,4,2,3
"1085",1,4,5,2,3,4,5,3,4,3
"1086",1,4,5,2,5,3,4,3,5,3
"1087",5,4,2,3,4,5,4,5,2,3
"1088",4,1,2,5,5,1,4,5,5,4
"1089",5,1,2,2,4,1,5,4,4,3
"1090",1,1,2,5,1,2,3,4,1,2
"1091",2,3,5,3,1,1,5,2,1,2
"1092",2,5,5,4,2,5,4,3,2,4
"1093",5,5,1,5,4,4,4,4,1,4
"1094",2,4,3,2,4,3,4,3,2,2
"1095",1,4,4,5,2,1,5,5,1,4
"1096",1,1,3,3,5,2,1,1,4,1
"1097",2,1,5,2,1,3,4,3,5,1
"1098",3,5,5,1,4,2,1,5,3,2
"1099",3,5,3,1,3,3,4,1,2,4
"1100",3,5,2,5,1,5,2,5,5,3
"1101",3,4,3,3,3,5,4,4,3,1
"1102",1,1,2,5,2,4,2,5,5,5
"1103",3,4,2,2,4,4,1,3,4,2
"1104",5,3,4,2,5,2,1,4,1,1
"1105",2,2,1,3,1,2,3,3,4,2
"1106",3,1,2,1,5,1,4,4,1,1
"1107",3,5,3,1,5,3,3,3,4,4
"1108",4,1,1,1,4,2,1,3,2,1
"1109",5,3,1,1,1,2,2,3,1,5
"1110",2,3,4,3,2,1,2,4,1,2
"1111",1,3,2,3,5,3,2,3,3,2
"1112",1,5,4,1,4,4,4,2,5,4
"1113",4,2,4,5,2,2,3,4,3,5
"1114",1,1,5,2,5,4,5,1,4,5
"1115",4,3,2,4,1,4,4,5,3,4
"1116",3,5,2,3,2,4,1,3,1,4
"1117",2,3,3,3,4,4,1,2,5,5
"1118",5,1,3,5,5,4,5,2,4,1
"1119",3,4,4,1,5,1,5,2,3,4
"1120",4,2,5,3,1,4,1,2,2,4
"1121",2,5,1,4,5,2,2,4,1,3
"1122",5,3,1,3,5,3,2,3,4,5
"1123",2,4,2,2,3,5,3,4,5,4
"1124",5,2,2,1,3,1,1,4,1,2
"1125",4,4,1,4,4,4,5,3,2,2
"1126",2,2,3,5,3,2,5,5,4,5
"1127",1,2,1,5,2,2,1,4,4,5
"1128",3,4,1,1,5,5,4,2,5,5
"1129",2,3,1,3,4,5,2,4,2,1
"1130",5,3,3,2,1,2,4,1,2,2
"1131",2,2,1,4,3,2,4,3,4,4
"1132",4,4,5,5,3,3,4,1,5,2
"1133",2,3,5,5,1,3,2,5,1,5
"1134",4,5,2,3,1,1,2,3,4,5
"1135",2,3,5,5,2,5,5,4,2,3
"1136",1,4,1,4,1,3,2,3,4,4
"1137",3,4,5,3,2,1,4,1,4,2
"1138",1,4,4,3,3,1,2,3,5,5
"1139",5,4,4,3,1,1,4,2,1,4
"1140",2,2,3,1,1,1,2,2,3,2
"1141",2,1,3,2,5,4,1,5,2,2
"1142",5,4,3,4,4,4,2,1,2,5
"1143",1,1,1,4,1,1,5,4,5,5
"1144",1,2,2,2,4,2,2,5,4,2
"1145",1,2,3,4,2,5,5,5,2,3
"1146",5,4,5,3,3,1,5,2,2,1
"1147",3,3,1,4,3,1,5,1,1,2
"1148",3,2,1,3,4,1,3,2,3,1
"1149",5,2,1,1,5,2,5,2,3,5
"1150",3,1,3,3,3,5,4,2,3,5
"1151",1,3,2,3,1,1,4,2,5,1
"1152",3,3,2,1,2,1,3,4,1,2
"1153",3,4,3,3,5,1,2,3,5,3
"1154",4,3,5,5,5,4,3,3,1,4
"1155",4,5,3,1,3,2,5,4,5,5
"1156",1,1,4,2,1,1,3,3,1,5
"1157",4,3,1,2,5,1,2,3,4,3
"1158",4,1,3,4,3,2,4,2,5,2
"1159",3,2,5,5,2,3,5,4,5,5
"1160",5,5,5,3,4,3,1,3,1,5
"1161",1,4,5,2,2,5,5,1,5,5
"1162",1,3,1,2,2,2,5,1,2,3
"1163",4,3,2,5,5,1,3,5,4,1
"1164",1,3,3,3,1,2,1,2,2,3
"1165",2,2,4,1,3,2,1,4,3,4
"1166",4,1,4,4,2,1,3,4,2,4
"1167",3,3,1,4,3,4,1,3,5,5
"1168",5,4,4,4,2,5,3,5,3,4
"1169",1,4,4,4,4,2,5,1,1,3
"1170",2,5,1,2,2,4,5,2,5,4
"1171",5,4,1,4,4,4,5,3,1,3
"1172",4,5,5,5,3,4,5,4,5,2
"1173",1,1,1,2,2,4,3,4,3,4
"1174",4,4,2,1,4,5,3,5,3,3
"1175",4,5,3,3,3,5,3,1,3,4
"1176",2,2,3,3,3,4,3,1,2,4
"1177",4,2,1,5,3,4,4,4,2,2
"1178",5,1,4,3,3,1,1,5,3,4
"1179",4,2,3,3,2,3,2,4,5,3
"1180",5,2,5,3,2,3,2,5,4,3
"1181",1,4,1,1,3,4,2,2,5,2
"1182",5,4,1,2,3,1,1,1,5,5
"1183",5,1,4,5,1,2,1,5,4,1
"1184",1,1,1,2,2,4,2,3,2,4
"1185",1,5,5,2,5,1,1,2,1,3
"1186",4,2,3,2,1,4,3,5,4,3
"1187",2,4,4,2,1,2,2,2,1,2
"1188",1,4,1,2,5,2,3,4,2,4
"1189",3,5,3,1,2,4,3,1,4,5
"1190",4,1,4,2,3,2,5,1,5,5
"1191",2,4,3,2,3,2,3,1,4,5
"1192",5,4,2,4,1,4,2,2,5,1
"1193",2,2,5,4,3,1,3,4,2,4
"1194",1,5,4,2,1,3,3,5,4,3
"1195",1,4,3,3,2,4,1,5,4,4
"1196",2,2,4,4,4,2,2,5,3,1
"1197",3,5,3,1,5,2,5,4,1,1
"1198",2,2,1,1,4,1,3,1,5,3
"1199",1,1,5,2,4,3,3,4,1,1
"1200",1,1,3,1,4,3,1,2,4,4
"1201",3,5,3,1,4,5,2,3,3,2
"1202",5,3,5,3,4,3,2,1,1,4
"1203",3,3,4,4,1,5,3,1,3,3
